"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-08-11 13:53:13	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	46	"468/468"	1376.5	326	" A "
"S"	2020-08-11 13:53:52	"G"	00:00:00.5	"R"	"0000_0000000168273013"	"upstream"	6	1	"HDX"	"A1"	393	"454/477"	1374	325	" E "
"S"	2020-08-11 13:53:55	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	21	"444/444"	1373.5	317	" E "
"S"	2020-08-11 13:55:07	"G"	00:00:04.8	"R"	"0000_0000000168273013"	"upstream"	49	0.9	"HDX"	"A1"	717	"462/540"	1372.5	318	" E "
"S"	2020-08-11 13:55:17	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	52	"437/437"	1370	314	" E "
"S"	2020-08-11 13:55:34	"G"	00:00:02.6	"R"	"0000_0000000168273013"	"upstream"	27	0.9	"HDX"	"A1"	169	"473/538"	1369.5	324	" E "
"S"	2020-08-11 13:55:42	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	55	"464/464"	1372.5	319	" E "
"S"	2020-08-11 13:56:19	"G"	00:00:00.4	"A"	"900_230000009506"	"upstream"	5	0.9	"HDX"	"A1"	366	"500/508"	1373	343	" C "
"S"	2020-08-11 13:56:26	"G"	00:00:01.3	"A"	"900_230000009506"	"upstream"	14	0.9	"HDX"	"A1"	69	"477/507"	1377	340	" C "
"S"	2020-08-11 13:56:30	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	30	"458/458"	1376.5	322	" C "
"S"	2020-08-11 13:56:36	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.8	"HDX"	"A1"	57	"457/457"	1377.5	312	" C "
"S"	2020-08-11 13:56:56	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.9	"HDX"	"A1"	202	"454/454"	1376.5	327	" A "
"S"	2020-08-11 13:57:01	"G"	00:00:03.2	"A"	"900_226000584318"	"upstream"	33	1	"HDX"	"A1"	48	"437/487"	1376.5	334	" A "
"S"	2020-08-11 13:57:52	"G"	00:00:01.6	"A"	"900_226000584318"	"upstream"	17	0.9	"HDX"	"A1"	471	"542/575"	1373	367	" A "
"S"	2020-08-11 13:57:55	"G"	00:00:02.6	"A"	"900_226000584318"	"upstream"	27	0.9	"HDX"	"A1"	18	"446/488"	1375.5	323	" A "
"S"	2020-08-11 13:58:03	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.9	"HDX"	"A1"	51	"442/442"	1376	316	" A "
"S"	2020-08-11 13:58:06	"G"	00:00:00.9	"A"	"900_226000584318"	"upstream"	10	0.9	"HDX"	"A1"	30	"493/520"	1379	345	" A "
"S"	2020-08-11 13:58:09	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	0.8	"HDX"	"A1"	19	"475/475"	1377	333	" A "
"S"	2020-08-11 13:58:22	"G"	00:00:00.8	"A"	"900_230000009506"	"upstream"	9	1	"HDX"	"A1"	126	"489/498"	1377	322	" C "
"S"	2020-08-11 13:58:25	"G"	00:00:00.4	"A"	"900_230000009506"	"upstream"	5	0.9	"HDX"	"A1"	19	"456/460"	1378	312	" C "
"S"	2020-08-11 13:58:34	"G"	00:00:00.6	"A"	"900_230000009506"	"upstream"	7	1	"HDX"	"A1"	92	"464/495"	1373	333	" C "
"S"	2020-08-11 13:58:39	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	40	"492/492"	1372	341	" C "
"S"	2020-08-11 13:58:58	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	189	"523/523"	1377.5	343	" E "
"S"	2020-08-11 13:59:01	"G"	00:00:02.8	"R"	"0000_0000000168273013"	"upstream"	29	0.9	"HDX"	"A1"	26	"501/518"	1376	327	" E "
"S"	2020-08-11 13:59:41	"G"	00:00:02.9	"R"	"0000_0000000168273013"	"upstream"	30	0.9	"HDX"	"A1"	376	"468/553"	1376	327	" E "
"S"	2020-08-11 13:59:47	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	24	"443/443"	1371.5	285	" E "
"S"	2020-08-11 13:59:57	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.8	"HDX"	"A1"	105	"520/520"	1373.5	349	" E "
"S"	2020-08-11 14:00:04	"G"	00:00:00.6	"R"	"0000_0000000168273013"	"upstream"	7	1	"HDX"	"A1"	69	"579/602"	1373	371	" E "
"S"	2020-08-11 14:00:22	"G"	00:00:02.2	"A"	"900_226000584318"	"upstream"	23	1	"HDX"	"A1"	173	"505/556"	1373.5	358	" A "
"S"	2020-08-11 14:00:35	"G"	00:00:02.6	"A"	"900_230000009506"	"upstream"	27	1	"HDX"	"A1"	106	"484/705"	1373	335	" C "
"S"	2020-08-11 14:00:49	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	111	"490/490"	1371.5	326	" C "
"S"	2020-08-11 14:44:11	"G"	00:00:00.1	"R"	"0000_0000000183227019"	"upstream"	2	1	"HDX"	"A1"	26017	"681/686"	1378.5	425	" E "
"S"	2020-08-11 14:44:17	"G"	00:00:00.0	"R"	"0000_0000000183227019"	"upstream"	1	0.9	"HDX"	"A1"	61	"595/595"	1372.5	243	" E "
"S"	2020-08-11 14:44:36	"G"	00:00:00.1	"A"	"900_226000980150"	"upstream"	2	0.9	"HDX"	"A1"	189	"548/552"	1375	351	" A "
"S"	2020-08-11 14:46:51	"G"	00:00:01.2	"A"	"900_230000009506"	"upstream"	13	0.9	"HDX"	"A1"	1350	"638/695"	1377.5	415	" C "
"S"	2020-08-11 14:46:56	"G"	00:00:03.1	"A"	"900_230000009506"	"upstream"	32	0.9	"HDX"	"A1"	38	"636/750"	1380.5	397	" C "
"S"	2020-08-11 14:47:08	"G"	00:00:00.2	"A"	"900_230000009506"	"upstream"	3	0.8	"HDX"	"A1"	86	"658/687"	1380	442	" C "
"S"	2020-08-13 00:23:52	"G"	00:00:01.4	"A"	"900_230000079824"	"upstream"	15	0.7	"HDX"	"A1"	65534	"631/697"	1285	423	" C "
"S"	2020-08-13 00:23:57	"G"	00:00:02.7	"A"	"900_230000079824"	"upstream"	28	0.9	"HDX"	"A1"	36	"481/716"	1284.5	366	" C "
"S"	2020-08-13 03:03:13	"G"	00:00:00.0	"A"	"900_228000586262"	"upstream"	1	0.8	"HDX"	"A1"	65534	"599/599"	1278	395	" B "
"S"	2020-08-13 03:03:31	"G"	00:00:01.0	"A"	"900_228000586262"	"upstream"	11	0.8	"HDX"	"A1"	183	"607/693"	1280	407	" B "
