DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-05-17 13:07:13.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 13:07:21.000	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 13:10:12.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:13:11.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:14:19.800	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 13:16:10.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:19:09.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:21:18.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 13:22:08.900	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:25:08.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:28:07.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:28:17.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 13:31:06.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:34:05.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:35:16.500	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 13:37:04.900	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
